param_MLP__max_iter,test acc,train acc
1,0.7702689050530607,0.7600493008576152
2,0.8358952227844543,0.8301119750676442
4,0.8495447238034998,0.8460032821462311
8,0.8528533277110127,0.8520737986096721
16,0.8626407776372199,0.8613416408873185
32,0.8613076727106614,0.8657401853689627
64,0.8613076727106614,0.8657401853689627
128,0.8613076727106614,0.8657401853689627
256,0.8613076727106614,0.8657401853689627
512,0.8613076727106614,0.8657401853689627
1024,0.8613076727106614,0.8657401853689627
2048,0.8613076727106614,0.8657401853689627
2100,0.8613076727106614,0.8657401853689627
2200,0.8613076727106614,0.8657401853689627
2300,0.8613076727106614,0.8657401853689627
2400,0.8613076727106614,0.8657401853689627
2500,0.8613076727106614,0.8657401853689627
2600,0.8613076727106614,0.8657401853689627
2700,0.8613076727106614,0.8657401853689627
2800,0.8613076727106614,0.8657401853689627
2900,0.8613076727106614,0.8657401853689627
3000,0.8613076727106614,0.8657401853689627
