param_SVM__n_iter,test acc,train acc
1,0.7241735627942933,0.7237530287957238
4,0.910756641366224,0.9056887841962598
7,0.8911323265865487,0.8916524188561441
10,0.9201312021224259,0.913809531310649
13,0.8423378311898235,0.8395831843927201
16,0.8706437996345491,0.8729028656779837
19,0.924680669758943,0.9175927238622855
22,0.754136578466512,0.7562222844238614
25,0.7610963964438824,0.7535241873497214
28,0.9067112059877717,0.9035337397443028
31,0.9260137746855015,0.9213149264950304
34,0.9264727844542836,0.9203542342958028
37,0.855377881439314,0.8564737567649331
40,0.7721247100990934,0.7655692924240423
43,0.8682455284981376,0.8672881579792384
46,0.8704055098742006,0.8707157106395903
49,0.9239449363974981,0.922917022609488
52,0.9241766375008785,0.9210709668194645
55,0.9273007590132827,0.9248993969268351
58,0.8989036474804976,0.9096466664162444
61,0.9253252600323284,0.9219583499439983
64,0.7694398323845666,0.7747599885128921
67,0.817601816712348,0.8161887036168637
70,0.9123214473961627,0.9168450924724304
73,0.8840615995502142,0.8991166155522677
